//Exported ASCII-File
[Header]
FileName = D:\Gast\Lei Gao\20250414 Sadeed_Hetero\1.wip
GraphName = H-532nm-10s-ave10-2mw-50obj-spot2
SizeX = 1
SizeY = 1
SizeGraph = 2000
PositionUnit = µm
PositionX = 3205.8
PositionY = 3405.15
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	H-532nm-10s-ave10-2mw-50obj-spot2
rel. 1/cm	CCD cts
-2.62679E+03	 5.02300E+02
-2.62317E+03	 5.05500E+02
-2.61954E+03	 5.04000E+02
-2.61592E+03	 5.03200E+02
-2.61229E+03	 5.03500E+02
-2.60867E+03	 5.04700E+02
-2.60505E+03	 5.05400E+02
-2.60143E+03	 5.06900E+02
-2.59782E+03	 5.04200E+02
-2.59420E+03	 5.04500E+02
-2.59059E+03	 5.04900E+02
-2.58697E+03	 5.02200E+02
-2.58336E+03	 5.01100E+02
-2.57975E+03	 5.03900E+02
-2.57614E+03	 5.04000E+02
-2.57253E+03	 5.06200E+02
-2.56892E+03	 5.05600E+02
-2.56532E+03	 5.03100E+02
-2.56172E+03	 5.03300E+02
-2.55811E+03	 5.05400E+02
-2.55451E+03	 5.05600E+02
-2.55091E+03	 5.05800E+02
-2.54731E+03	 5.07700E+02
-2.54371E+03	 5.03900E+02
-2.54012E+03	 5.06400E+02
-2.53652E+03	 5.05800E+02
-2.53293E+03	 5.06600E+02
-2.52934E+03	 5.03400E+02
-2.52575E+03	 5.05300E+02
-2.52216E+03	 5.04000E+02
-2.51857E+03	 5.05500E+02
-2.51498E+03	 5.07100E+02
-2.51140E+03	 5.01900E+02
-2.50781E+03	 5.03900E+02
-2.50423E+03	 5.03800E+02
-2.50065E+03	 5.05400E+02
-2.49707E+03	 5.03400E+02
-2.49349E+03	 5.05600E+02
-2.48991E+03	 5.04300E+02
-2.48633E+03	 5.03600E+02
-2.48276E+03	 5.04800E+02
-2.47918E+03	 5.06300E+02
-2.47561E+03	 5.05200E+02
-2.47204E+03	 5.04400E+02
-2.46847E+03	 5.06500E+02
-2.46490E+03	 5.03400E+02
-2.46133E+03	 5.06300E+02
-2.45777E+03	 5.04100E+02
-2.45420E+03	 5.05500E+02
-2.45064E+03	 5.05800E+02
-2.44708E+03	 5.03300E+02
-2.44352E+03	 5.02900E+02
-2.43996E+03	 5.05800E+02
-2.43640E+03	 5.02400E+02
-2.43284E+03	 5.04300E+02
-2.42929E+03	 5.06600E+02
-2.42573E+03	 5.05100E+02
-2.42218E+03	 5.05600E+02
-2.41863E+03	 5.04800E+02
-2.41508E+03	 5.04200E+02
-2.41153E+03	 5.02600E+02
-2.40798E+03	 5.03600E+02
-2.40444E+03	 5.06200E+02
-2.40089E+03	 5.04900E+02
-2.39735E+03	 5.04100E+02
-2.39380E+03	 5.04000E+02
-2.39026E+03	 5.05200E+02
-2.38672E+03	 5.02200E+02
-2.38318E+03	 5.04700E+02
-2.37965E+03	 5.06900E+02
-2.37611E+03	 5.03700E+02
-2.37257E+03	 5.03500E+02
-2.36904E+03	 5.04400E+02
-2.36551E+03	 5.06100E+02
-2.36198E+03	 5.03700E+02
-2.35845E+03	 5.05900E+02
-2.35492E+03	 5.03900E+02
-2.35139E+03	 5.04900E+02
-2.34787E+03	 5.05400E+02
-2.34434E+03	 5.03100E+02
-2.34082E+03	 5.04800E+02
-2.33730E+03	 5.05900E+02
-2.33378E+03	 5.03700E+02
-2.33026E+03	 5.06200E+02
-2.32674E+03	 5.05400E+02
-2.32322E+03	 5.03800E+02
-2.31971E+03	 5.02700E+02
-2.31619E+03	 5.03500E+02
-2.31268E+03	 5.05600E+02
-2.30917E+03	 5.04100E+02
-2.30566E+03	 5.07000E+02
-2.30215E+03	 5.04400E+02
-2.29864E+03	 5.03500E+02
-2.29513E+03	 5.05200E+02
-2.29163E+03	 5.04600E+02
-2.28812E+03	 5.04500E+02
-2.28462E+03	 5.04200E+02
-2.28112E+03	 5.01600E+02
-2.27762E+03	 5.04500E+02
-2.27412E+03	 5.03400E+02
-2.27062E+03	 5.05100E+02
-2.26712E+03	 5.05800E+02
-2.26363E+03	 5.06800E+02
-2.26013E+03	 5.05300E+02
-2.25664E+03	 5.05300E+02
-2.25315E+03	 5.06000E+02
-2.24966E+03	 5.04800E+02
-2.24617E+03	 5.08600E+02
-2.24268E+03	 5.03500E+02
-2.23920E+03	 5.04500E+02
-2.23571E+03	 5.03700E+02
-2.23223E+03	 5.05600E+02
-2.22874E+03	 5.04400E+02
-2.22526E+03	 5.06500E+02
-2.22178E+03	 5.04900E+02
-2.21830E+03	 5.05200E+02
-2.21483E+03	 5.07200E+02
-2.21135E+03	 5.03900E+02
-2.20787E+03	 5.05500E+02
-2.20440E+03	 5.02300E+02
-2.20093E+03	 5.02900E+02
-2.19746E+03	 5.05500E+02
-2.19399E+03	 5.04700E+02
