Field (T),Magnetization (M/MS),Sample Label
3.0115979999999998,0.9804155102121938,a-axis
2.9113689999999997,0.981382018456406,a-axis
2.810923,0.9827835658265356,a-axis
2.710748,0.9839885726778498,a-axis
2.610193,0.9850434137395071,a-axis
2.509584,0.9862572538725659,a-axis
2.409137,0.9874357608786465,a-axis
2.308745,0.9884331856089645,a-axis
2.208462,0.9896720533736327,a-axis
2.107961,0.9905428677322793,a-axis
2.007461,0.9915483896375299,a-axis
1.907068,0.9926091195536836,a-axis
1.806893,0.9935174753597446,a-axis
1.706339,0.9944832474971447,a-axis
1.606001,0.995039008140237,a-axis
1.505554,0.9961240295811883,a-axis
1.405163,0.9965583326002936,a-axis
1.3048790000000001,0.9964221528400657,a-axis
1.204487,0.9959753360051556,a-axis
1.1042370000000001,0.9947239544246829,a-axis
1.0038340000000001,0.9844302367650755,a-axis
0.9034954,0.9051868662350381,a-axis
0.8032668,0.8035018073262502,a-axis
0.7036889000000001,0.701166618881066,a-axis
0.6034055,0.5986845771268794,a-axis
0.5020144,0.497204744797289,a-axis
0.40160070000000003,0.39562443388785484,a-axis
0.3011489,0.29525391452401306,a-axis
0.2007135,0.19578718710399753,a-axis
0.1003551,0.09745619888428289,a-axis
1.085906e-05,-0.0006348537742220546,a-axis
-0.1003898,-0.09923345517127917,a-axis
-0.2007623,-0.19739300411446903,a-axis
-0.30118690000000004,-0.2965023516772377,a-axis
-0.40165500000000004,-0.3973263128372979,a-axis
-0.5020795,-0.49851000939640344,a-axis
-0.6026128,-0.6004700041994893,a-axis
-0.7033849,-0.7027085418202522,a-axis
-0.8032234,-0.8043836632870776,a-axis
-0.9034954,-0.906232137908139,a-axis
-1.0038340000000001,-0.9846952352174109,a-axis
-1.104258,-0.9946893574045168,a-axis
-1.204596,-0.9963190978863796,a-axis
-1.3050959999999998,-0.9967004012150179,a-axis
-1.405163,-0.9965178467256312,a-axis
-1.505609,-0.9959745998983436,a-axis
-1.606055,-0.9954122142939429,a-axis
-1.706339,-0.994486928031205,a-axis
-1.806948,-0.9937729044235234,a-axis
-1.906852,-0.992770326945521,a-axis
-2.007515,-0.9918303185465424,a-axis
-2.107961,-0.9909285877017898,a-axis
-2.208516,-0.9898958298444936,a-axis
-2.308745,-0.9888939884733035,a-axis
-2.409192,-0.9879127580928503,a-axis
-2.5096380000000003,-0.9865870297243611,a-axis
-2.610193,-0.9855395497308241,a-axis
-2.710802,-0.9844810281351064,a-axis
-2.8110310000000003,-0.9832414242636264,a-axis
-2.911423,-0.9821402084728101,a-axis
-3.011978,-0.9808483410176749,a-axis
-3.010566,-0.9810500342841747,a-axis
